iter	Logloss
0	0.6792679871
1	0.6654217172
2	0.6530743758
3	0.6407666463
4	0.6292873543
5	0.6179634011
6	0.6073213152
7	0.596551338
8	0.5873186857
9	0.5786322711
10	0.5721141336
11	0.5637761236
12	0.5561964478
13	0.5476446933
14	0.5408118511
15	0.5331036261
16	0.5259571738
17	0.5183169335
18	0.512502657
19	0.5064864919
20	0.5015714064
21	0.4978411073
22	0.4948844228
23	0.4890178708
24	0.4836310657
25	0.478575571
26	0.4733537962
27	0.4698822605
28	0.4653442571
29	0.4607266608
30	0.4564024248
31	0.4541857373
32	0.4499964679
33	0.4459626867
34	0.4425517201
35	0.4388979709
36	0.4363164997
37	0.4331050718
38	0.431346502
39	0.429473821
40	0.4280211722
41	0.4252388284
42	0.4224641305
43	0.4209333545
44	0.4180387663
45	0.4165858766
46	0.4137159384
47	0.4110548423
48	0.4099633789
49	0.4092448651
50	0.4066959103
51	0.4052878736
52	0.4028035974
53	0.4018412248
54	0.4004828798
55	0.3983292848
56	0.3971750321
57	0.3949163665
58	0.3931590737
59	0.3914237177
60	0.3907541635
61	0.3899937687
62	0.3882167597
63	0.3868493759
64	0.3862352976
65	0.3845554571
66	0.3829544981
67	0.3812703137
68	0.3796316979
69	0.3780391669
70	0.3763632428
71	0.3751965396
72	0.3741373449
73	0.3728546124
74	0.3724810823
75	0.3716897623
76	0.3704653074
77	0.3698651621
78	0.3685324783
79	0.3674572126
80	0.3662600753
81	0.3650000078
82	0.3639888664
83	0.3629769349
84	0.3618578937
85	0.360688642
86	0.3598395517
87	0.3585293921
88	0.3575526759
89	0.3567152382
90	0.3563825697
91	0.3557105751
92	0.3555247979
93	0.3544661792
94	0.3534387432
95	0.3524920252
96	0.3519249374
97	0.351185457
98	0.3509228672
99	0.3500631496
100	0.3494052375
101	0.3484672431
102	0.3478137199
103	0.3476740505
104	0.3476192687
105	0.3468747667
106	0.3460555821
107	0.3452968598
108	0.3446125171
109	0.3437516154
110	0.3432133684
111	0.3425377859
112	0.3423845998
113	0.3416877668
114	0.3407581968
115	0.3400122679
116	0.3390810813
117	0.3385933708
118	0.3380090687
119	0.3375677176
120	0.3374417513
121	0.3368391922
122	0.3361026567
123	0.335457327
124	0.3348959657
125	0.3343464075
126	0.333593835
127	0.333532402
128	0.3334904778
129	0.3328891402
130	0.3324692788
131	0.3319004055
132	0.3312548618
133	0.3306584391
134	0.3300404769
135	0.3293978308
136	0.3288091471
137	0.3287777162
138	0.3287068571
139	0.3280487179
140	0.327857057
141	0.3273358957
142	0.3272978903
143	0.3267366536
144	0.3266317271
145	0.3261944294
146	0.3260076511
147	0.3256895573
148	0.3252753716
149	0.3250179162
150	0.3246736125
151	0.3240112859
152	0.3239752913
153	0.3234281671
154	0.3229520088
155	0.3225466392
156	0.3221927667
157	0.3217812517
158	0.3210618246
159	0.3207248357
160	0.3202340564
161	0.3197832467
162	0.3192440096
163	0.3186177424
164	0.31839593
165	0.3179608751
166	0.317655262
167	0.3176424402
168	0.3174967075
169	0.3171365272
170	0.3167283087
171	0.3162574539
172	0.3157744995
173	0.3152950909
174	0.3146543326
175	0.3145864152
176	0.3145023784
177	0.3140643632
178	0.3136551377
179	0.3135622933
180	0.3134067415
181	0.3127552858
182	0.3127398986
183	0.3126789485
184	0.3126168451
185	0.312098643
186	0.312027655
187	0.3116387688
188	0.3112733486
189	0.310791477
190	0.3103965449
191	0.3098736059
192	0.3094468588
193	0.3093645413
194	0.3089194787
195	0.3088925748
196	0.3087182846
197	0.3084296551
198	0.3082079382
199	0.3079394043
200	0.3076537389
201	0.3073785631
202	0.3071288535
203	0.3067077219
204	0.3065516918
205	0.3062072138
206	0.3061952179
207	0.3059020244
208	0.3054335783
209	0.3051733847
210	0.3051515962
211	0.3047882678
212	0.3044137148
213	0.3040200434
214	0.3037246045
215	0.3032331313
216	0.3028565754
217	0.302846333
218	0.3024058443
219	0.3021548428
220	0.3018726327
221	0.3015947857
222	0.3015279232
223	0.3011947476
224	0.3008765376
225	0.300866063
226	0.3004509053
227	0.3000818228
228	0.3000002916
229	0.2997148508
230	0.2996740356
231	0.2996336041
232	0.2992660093
233	0.2988043833
234	0.2985162494
235	0.2984115863
236	0.2982070578
237	0.2979073342
238	0.2978624425
239	0.297506012
240	0.2971571657
241	0.2971429116
242	0.2970823061
243	0.2967572079
244	0.296496184
245	0.296302691
246	0.2961376951
247	0.2957993307
248	0.2953558977
249	0.2952470785
250	0.2949188844
251	0.2948891915
252	0.2946129774
253	0.2944590547
254	0.2942432514
255	0.2940882528
256	0.293850385
257	0.293805187
258	0.293742634
259	0.2934911231
260	0.2933909026
261	0.2930109522
262	0.2928191862
263	0.2928149075
264	0.2927657539
265	0.292500137
266	0.2921934751
267	0.2919478008
268	0.2919249651
269	0.2916172463
270	0.2913072328
271	0.2910804236
272	0.2908258687
273	0.2906444542
274	0.2905365881
275	0.2905286014
276	0.2901767663
277	0.2901729849
278	0.2898089618
279	0.2894313272
280	0.2891220478
281	0.2889144404
282	0.2887384651
283	0.2884814219
284	0.2882417212
285	0.2880335793
286	0.2876593069
287	0.2875280711
288	0.2873511273
289	0.2872071229
290	0.286940967
291	0.2866866051
292	0.2865597546
293	0.2865350528
294	0.2862639698
295	0.2862636541
296	0.2860120397
297	0.2857906218
298	0.2855340896
299	0.2852756127
300	0.2850437914
301	0.2850421948
302	0.2846498915
303	0.2843848606
304	0.2840858078
305	0.2838509439
306	0.2835693389
307	0.2832593782
308	0.283104807
309	0.2828179627
310	0.282590401
311	0.282277157
312	0.2821111526
313	0.2820071293
314	0.2818147835
315	0.2816448849
316	0.2816435544
317	0.2813744607
318	0.2813062173
319	0.2809837651
320	0.2807376863
