iter	Passed	Remaining
0	59	59493
1	60	30371
2	61	20566
3	63	15696
4	63	12714
5	65	10791
6	66	9417
7	67	8388
8	69	7603
9	69	6920
10	70	6362
11	71	5903
12	72	5508
13	73	5203
14	74	4908
15	75	4672
16	77	4468
17	78	4295
18	79	4116
19	81	3976
20	82	3834
21	83	3697
22	83	3566
23	85	3468
24	86	3377
25	87	3290
26	89	3237
27	90	3148
28	92	3081
29	93	3016
30	94	2955
31	95	2884
32	96	2835
33	97	2783
34	99	2736
35	100	2691
36	101	2640
37	102	2598
38	103	2548
39	104	2501
40	104	2454
41	106	2420
42	107	2389
43	108	2351
44	109	2323
45	110	2293
46	111	2268
47	113	2243
48	113	2209
49	114	2177
50	116	2158
51	116	2129
52	118	2108
53	119	2086
54	119	2060
55	121	2042
56	121	2018
57	123	2001
58	124	1985
59	125	1970
60	126	1948
61	127	1926
62	128	1913
63	129	1896
64	130	1876
65	132	1868
66	133	1855
67	134	1843
68	135	1832
69	137	1820
70	138	1809
71	139	1797
72	140	1786
73	141	1776
74	142	1760
75	143	1748
76	145	1738
77	145	1724
78	147	1716
79	148	1709
80	149	1701
81	151	1693
82	152	1688
83	154	1680
84	155	1674
85	156	1666
86	158	1658
87	159	1651
88	160	1645
89	162	1639
90	162	1627
91	164	1622
92	165	1611
93	166	1605
94	167	1600
95	169	1594
96	170	1588
97	172	1584
98	173	1575
99	174	1569
100	175	1563
101	177	1558
102	178	1553
103	179	1543
104	179	1532
105	181	1529
106	182	1524
107	183	1519
108	185	1515
109	186	1511
110	188	1506
111	189	1502
112	190	1494
113	191	1490
114	193	1486
115	194	1484
116	196	1480
117	197	1477
118	199	1473
119	200	1468
120	201	1461
121	202	1456
122	203	1452
123	205	1448
124	206	1443
125	207	1441
126	209	1437
127	209	1428
128	210	1421
129	211	1418
130	213	1415
131	214	1411
132	216	1409
133	217	1404
134	218	1402
135	220	1398
136	221	1395
137	222	1388
138	223	1382
139	224	1379
140	225	1374
141	227	1371
142	227	1364
143	229	1361
144	230	1356
145	231	1354
146	232	1349
147	233	1346
148	235	1342
149	236	1338
150	237	1336
151	239	1333
152	239	1327
153	241	1325
154	242	1322
155	243	1319
156	245	1317
157	246	1314
158	248	1313
159	249	1310
160	250	1307
161	252	1304
162	253	1301
163	254	1299
164	256	1295
165	257	1292
166	258	1289
167	259	1283
168	260	1278
169	261	1275
170	262	1274
171	264	1271
172	265	1268
173	266	1266
174	268	1263
175	268	1259
176	269	1254
177	271	1251
178	272	1249
179	273	1244
180	274	1241
181	275	1238
182	276	1234
183	277	1229
184	278	1225
185	279	1222
186	280	1218
187	281	1216
188	283	1214
189	284	1212
190	285	1209
191	286	1207
192	288	1205
193	289	1201
194	290	1199
195	291	1195
196	292	1192
197	293	1190
198	294	1187
199	296	1185
200	297	1182
201	298	1180
202	300	1178
203	301	1176
204	302	1173
205	303	1170
206	304	1166
207	306	1165
208	307	1163
209	308	1161
210	309	1157
211	310	1155
212	312	1153
213	313	1151
214	314	1148
215	315	1146
216	317	1145
217	318	1140
218	319	1138
219	320	1136
220	321	1134
221	323	1133
222	324	1129
223	325	1127
224	326	1125
225	327	1121
226	328	1119
227	330	1118
228	331	1115
229	332	1113
230	333	1109
231	334	1106
232	335	1105
233	337	1103
234	338	1102
235	339	1099
236	341	1098
237	342	1096
238	343	1093
239	345	1092
240	346	1091
241	347	1087
242	348	1084
243	349	1083
244	351	1081
245	352	1080
246	354	1079
247	355	1078
248	357	1077
249	358	1074
250	359	1072
251	360	1069
252	361	1068
253	363	1066
254	365	1067
255	366	1065
256	368	1064
257	369	1061
258	370	1059
259	371	1058
260	372	1055
261	374	1054
262	375	1053
263	376	1049
264	377	1047
265	379	1046
266	380	1045
267	382	1043
268	383	1040
269	384	1039
270	385	1037
271	387	1035
272	388	1034
273	389	1032
274	390	1029
275	391	1026
276	392	1025
277	393	1021
278	394	1020
279	396	1019
280	397	1017
281	399	1016
282	400	1014
283	401	1012
284	403	1011
285	404	1010
286	405	1008
287	407	1006
288	409	1006
289	410	1005
290	412	1003
291	413	1002
292	414	1001
293	415	998
294	417	997
295	417	994
296	419	992
297	421	992
298	422	990
299	423	989
300	425	988
301	426	984
302	427	983
303	429	982
304	430	981
305	431	979
306	433	978
307	434	976
308	436	975
309	437	973
310	438	971
311	440	970
312	441	968
313	442	967
314	444	965
315	445	964
316	446	961
317	447	959
318	448	957
319	449	955
320	451	954
321	452	952
322	453	951
323	455	950
324	456	948
325	457	946
326	459	944
327	460	943
328	461	941
329	463	941
330	465	939
331	466	938
332	467	936
333	468	933
334	469	931
335	470	930
336	471	928
337	473	926
338	474	924
339	474	921
340	475	919
341	477	918
342	478	915
343	479	914
344	480	912
345	481	910
346	482	908
347	484	907
348	485	905
349	486	903
350	487	901
351	489	900
352	490	898
353	491	897
354	493	896
355	494	894
356	495	892
357	496	891
358	498	889
359	499	888
360	501	887
361	502	885
362	503	884
363	504	882
364	506	880
365	506	878
366	508	876
367	509	874
368	509	872
369	511	870
370	512	869
371	514	867
372	515	866
373	516	864
374	517	863
375	518	860
376	519	858
377	520	856
378	521	855
379	523	853
380	524	851
381	525	850
382	526	848
383	528	847
384	529	846
385	530	843
386	531	842
387	532	839
388	533	838
389	534	836
390	535	834
391	536	832
392	538	831
393	539	829
394	540	828
395	542	826
396	543	825
397	545	824
398	546	822
399	547	820
400	548	819
401	549	817
402	551	816
403	552	815
404	553	813
405	555	812
406	556	810
407	557	809
408	558	807
409	560	806
410	561	805
411	563	803
412	563	801
413	564	799
414	565	797
415	567	796
416	568	794
417	569	793
418	570	791
419	572	790
420	572	787
421	574	786
422	574	784
423	576	782
424	577	781
425	578	779
426	580	778
427	581	777
428	582	775
429	583	773
430	585	772
431	586	771
432	587	769
433	588	767
434	589	765
435	590	763
436	591	762
437	592	760
438	594	759
439	595	758
440	597	756
441	598	755
442	599	754
443	601	752
444	602	751
445	603	749
446	604	748
447	606	746
448	607	745
449	608	743
450	609	742
451	610	740
452	612	739
453	613	737
454	614	736
455	615	734
456	617	733
457	618	732
458	619	730
459	621	729
460	622	727
461	623	726
462	625	725
463	626	723
464	627	722
465	629	721
466	630	719
467	631	718
468	632	716
469	634	714
470	634	713
471	636	711
472	637	710
473	638	708
474	640	707
475	641	706
476	643	705
477	644	703
478	645	702
479	646	700
480	648	699
481	649	698
482	650	696
483	652	695
484	653	693
485	654	692
486	655	690
487	656	688
488	658	687
489	658	685
490	660	684
491	661	682
492	662	681
493	662	678
494	664	677
495	665	676
496	667	675
497	668	673
498	669	672
499	671	671
500	672	669
501	673	668
502	675	667
503	677	666
504	678	665
505	679	663
506	681	662
507	682	661
508	683	659
509	685	658
510	686	657
511	688	655
512	689	654
513	690	652
514	691	651
515	692	649
516	694	648
517	695	647
518	696	645
519	698	644
520	699	642
521	700	641
522	701	640
523	703	638
524	704	637
525	705	636
526	707	634
527	708	633
528	709	631
529	710	630
530	711	628
531	713	627
532	714	626
533	715	624
534	716	622
535	717	621
536	719	620
537	720	618
538	721	617
539	723	616
540	724	614
541	726	613
542	727	612
543	728	610
544	729	609
545	731	608
546	732	606
547	733	605
548	735	603
549	736	602
550	737	601
551	739	599
552	740	598
553	741	597
554	743	595
555	744	594
556	745	593
557	747	591
558	748	590
559	749	589
560	751	587
561	752	586
562	753	585
563	755	583
564	756	582
565	757	581
566	759	579
567	760	578
568	761	577
569	762	575
570	763	573
571	765	572
572	766	571
573	767	569
574	769	568
575	770	567
576	772	566
577	773	564
578	774	563
579	776	562
580	777	560
581	778	559
582	780	558
583	781	556
584	782	555
585	783	553
586	785	552
587	786	551
588	788	550
589	789	548
590	791	547
591	792	546
592	793	544
593	795	543
594	796	542
595	797	540
596	799	539
597	800	537
598	801	536
599	803	535
600	804	534
601	805	532
602	807	531
603	808	529
604	809	528
605	810	527
606	812	525
607	813	524
608	814	523
609	816	521
610	817	520
611	818	519
612	820	517
613	821	516
614	823	515
615	824	513
616	825	512
617	826	510
618	827	509
619	829	508
620	830	506
621	831	505
622	832	503
623	834	502
624	835	501
625	836	499
626	838	498
627	839	497
628	840	495
629	842	494
630	843	493
631	844	491
632	846	490
633	847	489
634	848	487
635	850	486
636	851	485
637	852	483
638	854	482
639	855	481
640	856	479
641	858	478
642	859	477
643	860	475
644	862	474
645	863	473
646	864	471
647	865	470
648	867	469
649	868	467
650	869	466
651	871	465
652	872	463
653	874	462
654	875	461
655	876	459
656	878	458
657	879	457
658	880	455
659	881	454
660	882	452
661	884	451
662	885	450
663	887	448
664	888	447
665	889	446
666	891	444
667	892	443
668	893	442
669	895	440
670	896	439
671	897	438
672	899	436
673	900	435
674	902	434
675	903	432
676	904	431
677	906	430
678	907	429
679	908	427
680	910	426
681	911	425
682	913	423
683	914	422
684	915	421
685	916	419
686	918	418
687	919	416
688	920	415
689	921	414
690	922	412
691	924	411
692	925	409
693	926	408
694	927	407
695	929	405
696	930	404
697	931	403
698	932	401
699	934	400
700	935	398
701	936	397
702	937	396
703	938	394
704	940	393
705	941	392
706	943	390
707	944	389
708	945	388
709	946	386
710	948	385
711	949	384
712	950	382
713	951	381
714	953	379
715	954	378
716	955	377
717	956	375
718	958	374
719	959	373
720	961	371
721	962	370
722	963	369
723	964	367
724	966	366
725	967	365
726	968	363
727	970	362
728	971	361
729	972	359
730	973	358
731	975	357
732	976	355
733	977	354
734	979	352
735	980	351
736	981	350
737	982	348
738	984	347
739	985	346
740	986	344
741	988	343
742	989	342
743	990	340
744	991	339
745	993	338
746	994	336
747	995	335
748	996	334
749	998	332
750	999	331
751	1000	329
752	1001	328
753	1003	327
754	1004	325
755	1005	324
756	1006	323
757	1008	321
758	1009	320
759	1010	319
760	1011	317
761	1013	316
762	1014	315
763	1015	313
764	1016	312
765	1018	311
766	1019	309
767	1020	308
768	1021	306
769	1023	305
770	1024	304
771	1025	302
772	1026	301
773	1027	299
774	1028	298
775	1029	297
776	1031	295
777	1032	294
778	1033	293
779	1034	291
780	1036	290
781	1037	289
782	1038	287
783	1039	286
784	1041	285
785	1042	283
786	1043	282
787	1045	281
788	1046	279
789	1047	278
790	1048	277
791	1049	275
792	1051	274
793	1052	273
794	1053	271
795	1055	270
796	1056	269
797	1057	267
798	1058	266
799	1060	265
800	1061	263
801	1063	262
802	1064	261
803	1065	259
804	1066	258
805	1068	257
806	1069	255
807	1070	254
808	1072	253
809	1073	251
810	1074	250
811	1076	249
812	1077	247
813	1078	246
814	1080	245
815	1081	243
816	1082	242
817	1084	241
818	1085	239
819	1086	238
820	1088	237
821	1089	235
822	1090	234
823	1091	233
824	1093	231
825	1094	230
826	1095	229
827	1096	227
828	1098	226
829	1099	225
830	1101	223
831	1102	222
832	1103	221
833	1104	219
834	1106	218
835	1107	217
836	1108	215
837	1109	214
838	1111	213
839	1112	211
840	1113	210
841	1114	209
842	1116	207
843	1117	206
844	1119	205
845	1120	203
846	1121	202
847	1122	201
848	1124	199
849	1125	198
850	1126	197
851	1127	195
852	1129	194
853	1130	193
854	1132	191
855	1133	190
856	1134	189
857	1135	187
858	1137	186
859	1138	185
860	1139	184
861	1141	182
862	1142	181
863	1143	180
864	1145	178
865	1146	177
866	1147	176
867	1148	174
868	1150	173
869	1151	172
870	1152	170
871	1154	169
872	1155	168
873	1156	166
874	1158	165
875	1159	164
876	1160	162
877	1161	161
878	1163	160
879	1164	158
880	1165	157
881	1167	156
882	1168	154
883	1169	153
884	1171	152
885	1172	150
886	1173	149
887	1174	148
888	1176	146
889	1177	145
890	1178	144
891	1180	142
892	1181	141
893	1182	140
894	1183	138
895	1185	137
896	1186	136
897	1187	134
898	1189	133
899	1190	132
900	1192	130
901	1193	129
902	1194	128
903	1195	126
904	1197	125
905	1198	124
906	1199	123
907	1201	121
908	1202	120
909	1203	119
910	1204	117
911	1206	116
912	1207	115
913	1208	113
914	1209	112
915	1211	111
916	1212	109
917	1213	108
918	1215	107
919	1216	105
920	1217	104
921	1218	103
922	1220	101
923	1221	100
924	1222	99
925	1224	97
926	1225	96
927	1226	95
928	1227	93
929	1229	92
930	1230	91
931	1231	89
932	1233	88
933	1234	87
934	1235	85
935	1236	84
936	1238	83
937	1239	81
938	1240	80
939	1241	79
940	1243	77
941	1244	76
942	1245	75
943	1247	73
944	1248	72
945	1249	71
946	1251	70
947	1252	68
948	1253	67
949	1254	66
950	1256	64
951	1257	63
952	1258	62
953	1260	60
954	1261	59
955	1262	58
956	1264	56
957	1265	55
958	1267	54
959	1268	52
960	1269	51
961	1270	50
962	1272	48
963	1273	47
964	1274	46
965	1275	44
966	1277	43
967	1278	42
968	1279	40
969	1281	39
970	1282	38
971	1283	36
972	1285	35
973	1286	34
974	1287	33
975	1289	31
976	1290	30
977	1291	29
978	1293	27
979	1294	26
980	1296	25
981	1297	23
982	1298	22
983	1299	21
984	1301	19
985	1302	18
986	1304	17
987	1305	15
988	1306	14
989	1307	13
990	1309	11
991	1310	10
992	1311	9
993	1313	7
994	1314	6
995	1315	5
996	1317	3
997	1318	2
998	1319	1
999	1321	0
