iter	Passed	Remaining
0	153	153230
1	186	93100
2	197	65503
3	205	51168
4	211	42156
5	244	40542
6	253	35936
7	263	32646
8	272	29991
9	286	28388
10	292	26275
11	300	24709
12	304	23127
13	313	22046
14	317	20850
15	324	19968
16	332	19248
17	341	18643
18	347	17943
19	354	17390
20	361	16831
21	365	16246
22	369	15699
23	376	15326
24	383	14975
25	391	14678
26	403	14529
27	409	14212
28	419	14054
29	430	13931
30	438	13716
31	442	13386
32	451	13216
33	458	13021
34	465	12843
35	472	12654
36	477	12433
37	484	12275
38	488	12041
39	493	11839
40	496	11614
41	505	11529
42	514	11445
43	519	11280
44	527	11200
45	532	11052
46	540	10962
47	547	10866
48	551	10705
49	555	10552
50	562	10466
51	567	10352
52	574	10272
53	579	10145
54	584	10048
55	591	9978
56	597	9886
57	605	9828
58	612	9770
59	620	9717
60	624	9609
61	628	9509
62	636	9459
63	642	9395
64	647	9309
65	654	9255
66	661	9206
67	668	9168
68	676	9121
69	683	9086
70	690	9039
71	697	8994
72	705	8960
73	712	8921
74	716	8839
75	722	8781
76	729	8741
77	733	8672
78	740	8638
79	747	8599
80	755	8572
81	762	8535
82	770	8511
83	777	8479
84	785	8454
85	792	8422
86	800	8397
87	807	8369
88	815	8345
89	822	8320
90	826	8259
91	834	8238
92	839	8188
93	847	8169
94	855	8145
95	862	8124
96	870	8099
97	877	8077
98	882	8034
99	890	8011
100	897	7992
101	905	7969
102	913	7951
103	917	7903
104	920	7847
105	928	7832
106	935	7808
107	943	7790
108	951	7774
109	958	7757
110	966	7738
111	973	7719
112	978	7680
113	986	7668
114	994	7655
115	1003	7648
116	1011	7634
117	1019	7617
118	1027	7610
119	1036	7604
120	1041	7564
121	1050	7557
122	1059	7550
123	1067	7541
124	1075	7531
125	1084	7521
126	1092	7510
127	1096	7469
128	1101	7434
129	1109	7423
130	1117	7412
131	1125	7404
132	1134	7395
133	1142	7382
134	1150	7371
135	1158	7360
136	1167	7351
137	1170	7313
138	1174	7275
139	1179	7244
140	1187	7231
141	1194	7220
142	1200	7191
143	1208	7184
144	1214	7161
145	1222	7153
146	1229	7135
147	1237	7121
148	1244	7107
149	1251	7090
150	1258	7075
151	1264	7057
152	1268	7023
153	1273	6994
154	1277	6962
155	1284	6947
156	1291	6932
157	1295	6905
158	1303	6895
159	1311	6884
160	1318	6870
161	1325	6857
162	1329	6829
163	1337	6818
164	1344	6804
165	1349	6780
166	1353	6753
167	1360	6738
168	1368	6727
169	1374	6713
170	1382	6700
171	1386	6672
172	1393	6659
173	1400	6647
174	1407	6635
175	1414	6624
176	1421	6610
177	1428	6596
178	1432	6568
179	1438	6554
180	1446	6543
181	1452	6529
182	1463	6532
183	1469	6517
184	1476	6503
185	1482	6488
186	1489	6476
187	1493	6449
188	1500	6439
189	1506	6424
190	1513	6411
191	1520	6399
192	1523	6369
193	1529	6355
194	1536	6342
195	1541	6321
196	1547	6309
197	1554	6296
198	1560	6282
199	1566	6267
200	1573	6256
201	1578	6235
202	1580	6206
203	1584	6183
204	1591	6170
205	1597	6156
206	1601	6134
207	1605	6111
208	1608	6089
209	1615	6076
210	1621	6063
211	1627	6049
212	1631	6028
213	1638	6018
214	1644	6005
215	1651	5993
216	1657	5980
217	1663	5968
218	1669	5955
219	1672	5931
220	1679	5921
221	1685	5907
222	1692	5896
223	1698	5885
224	1705	5875
225	1712	5865
226	1718	5853
227	1722	5831
228	1728	5820
229	1734	5808
230	1737	5785
231	1744	5775
232	1750	5762
233	1757	5752
234	1763	5741
235	1770	5731
236	1777	5721
237	1780	5701
238	1786	5688
239	1793	5678
240	1798	5665
241	1805	5654
242	1812	5645
243	1818	5634
244	1825	5624
245	1831	5613
246	1834	5594
247	1841	5582
248	1846	5569
249	1851	5553
250	1857	5541
251	1860	5523
252	1865	5507
253	1871	5496
254	1875	5478
255	1881	5469
256	1888	5459
257	1894	5448
258	1901	5439
259	1907	5429
260	1911	5412
261	1917	5402
262	1924	5391
263	1930	5381
264	1937	5372
265	1943	5362
266	1949	5352
267	1954	5338
268	1961	5330
269	1968	5321
270	1973	5309
271	1980	5301
272	1986	5290
273	1991	5276
274	1998	5268
275	2004	5258
276	2011	5251
277	2018	5242
278	2025	5233
279	2028	5216
280	2031	5198
281	2037	5187
282	2042	5173
283	2047	5162
284	2051	5146
285	2058	5140
286	2064	5129
287	2071	5121
288	2077	5111
289	2080	5093
290	2082	5074
291	2089	5066
292	2093	5050
293	2099	5040
294	2102	5025
295	2109	5016
296	2113	5002
297	2120	4995
298	2127	4986
299	2133	4979
300	2140	4970
301	2144	4955
302	2148	4941
303	2151	4926
304	2158	4917
305	2164	4908
306	2170	4899
307	2176	4889
308	2182	4881
309	2189	4873
310	2193	4859
311	2200	4852
312	2203	4837
313	2210	4828
314	2216	4820
315	2220	4805
316	2223	4790
317	2231	4784
318	2238	4778
319	2241	4762
320	2247	4753
321	2253	4745
322	2256	4730
323	2263	4721
324	2269	4714
325	2276	4705
326	2282	4697
327	2289	4691
328	2296	4683
329	2300	4670
330	2306	4661
331	2312	4652
332	2318	4644
333	2324	4635
334	2332	4630
335	2340	4624
336	2345	4613
337	2351	4606
338	2359	4600
339	2366	4594
340	2374	4587
341	2380	4579
342	2383	4565
343	2386	4550
344	2391	4541
345	2398	4533
346	2406	4527
347	2411	4519
348	2418	4511
349	2424	4502
350	2431	4494
351	2436	4485
352	2439	4471
353	2445	4463
354	2452	4455
355	2459	4448
356	2464	4439
357	2471	4431
358	2477	4424
359	2484	4417
360	2491	4410
361	2497	4402
362	2503	4393
363	2510	4386
