iter	Logloss
0	0.6792675689
1	0.6654212779
2	0.6530745481
3	0.6407667199
4	0.629287847
5	0.6179638911
6	0.6073213895
7	0.5965516252
8	0.5873187132
9	0.5786323581
10	0.5721138925
11	0.5637762787
12	0.5561963194
13	0.547644695
14	0.5408117496
15	0.5331036133
16	0.5259572438
17	0.5183168143
18	0.5125028543
19	0.5064866417
20	0.501571164
21	0.4978411527
22	0.4948844053
23	0.4890175378
24	0.4836309383
25	0.4785756783
26	0.4733539282
27	0.4698821545
28	0.4653440383
29	0.4607265516
30	0.456402515
31	0.454185765
32	0.4499966298
33	0.4459626558
34	0.4425519411
35	0.4388979091
36	0.4363164317
37	0.4331050785
38	0.4313465282
39	0.4294737326
40	0.4280211675
41	0.4252388009
42	0.4224639892
43	0.4209333637
44	0.4180387107
45	0.4165857771
46	0.4137158971
47	0.4110548701
48	0.4099634182
49	0.4092449102
50	0.4066958923
51	0.4052878527
52	0.402803769
53	0.4018410812
54	0.4004827259
55	0.3983292396
56	0.3971750921
57	0.3949163422
58	0.3931592698
59	0.3914237194
60	0.3907543388
61	0.3899937781
62	0.3882167915
63	0.3868492904
64	0.3862353666
65	0.3845554938
66	0.3829545317
67	0.3812703006
68	0.3796317761
69	0.3780392366
70	0.3763633411
71	0.3751964882
72	0.3741370716
73	0.3728545854
74	0.3724812767
75	0.3716897689
76	0.3704653008
77	0.3698649453
78	0.3685324652
79	0.3674573252
80	0.366260108
81	0.3650002269
82	0.3639889627
83	0.362976842
84	0.3618578079
85	0.3606885168
86	0.3598395509
87	0.3585292194
88	0.3575527124
89	0.3567152351
90	0.356382476
91	0.3557105591
92	0.3555248292
93	0.354466275
94	0.3534388178
95	0.3524920007
96	0.3519249466
97	0.3511853188
98	0.3509229181
99	0.3500631681
100	0.3494053426
101	0.3484671564
102	0.3478137408
103	0.3476741679
104	0.3476192592
105	0.3468747941
106	0.3460554709
107	0.345296936
108	0.3446124954
109	0.3437516124
110	0.343213381
111	0.3425377295
112	0.3423845727
113	0.3416876905
114	0.340758126
115	0.3400123029
116	0.3390810526
117	0.3385933474
118	0.3380090829
119	0.3375678342
120	0.3374418353
121	0.3368391424
122	0.3361026905
123	0.3354572322
124	0.3348959694
125	0.3343463364
126	0.3335938298
127	0.3335323089
128	0.3334906867
129	0.3328891922
130	0.3324692854
131	0.3319004008
132	0.3312549276
133	0.3306583739
134	0.330040419
135	0.3293977845
136	0.3288091188
137	0.3287776435
138	0.3287068524
139	0.3285023642
140	0.3279508176
141	0.3275423182
142	0.3274330322
143	0.3270702772
144	0.3269667587
145	0.3264494738
146	0.326266134
147	0.3259434543
148	0.3255353293
149	0.3252775991
150	0.3249358734
151	0.3242666783
152	0.3242300651
153	0.3241754675
154	0.3240175961
155	0.3233473168
156	0.3229540496
157	0.3228320087
158	0.3223773405
159	0.3219841536
160	0.3214586927
161	0.3207883062
162	0.3206913152
163	0.3204495488
164	0.3201407295
165	0.3200044868
166	0.3199323682
167	0.3194078892
168	0.3190803611
169	0.3184485878
170	0.3181215532
171	0.3180567521
172	0.3175002617
173	0.3169994936
174	0.3166604985
175	0.3163156626
176	0.3158281741
177	0.3154622424
178	0.3154013574
179	0.3149790879
180	0.3144642361
181	0.3142238097
182	0.3138065931
183	0.3133997118
