iter	Passed	Remaining
0	180	180273
1	185	92670
2	189	62945
3	214	53292
4	216	43157
5	221	36716
6	227	32226
7	231	28725
8	236	25999
9	238	23650
10	241	21752
11	244	20160
12	248	18833
13	252	17782
14	254	16743
15	259	15980
16	272	15755
17	280	15323
18	295	15265
19	303	14851
20	306	14302
21	310	13795
22	312	13274
23	316	12870
24	328	12804
25	344	12908
26	351	12650
27	353	12281
28	365	12250
29	370	11969
30	376	11777
31	378	11458
32	384	11257
33	392	11150
34	408	11267
35	415	11139
36	425	11087
37	432	10956
38	435	10732
39	443	10647
40	459	10755
41	464	10589
42	469	10446
43	472	10258
44	475	10097
45	479	9938
46	482	9791
47	487	9676
48	489	9502
49	491	9340
50	497	9258
51	500	9118
52	513	9182
53	516	9045
54	520	8940
55	528	8913
56	533	8822
57	537	8723
58	544	8679
59	547	8583
60	550	8467
61	552	8356
62	560	8339
63	563	8247
64	565	8137
65	568	8048
66	576	8027
67	581	7976
68	595	8033
69	607	8072
70	616	8070
71	628	8105
72	639	8119
73	646	8089
74	648	7998
75	656	7976
76	663	7955
77	668	7906
78	675	7874
79	686	7897
80	696	7898
81	708	7928
82	719	7946
83	729	7959
84	740	7970
85	751	7988
86	757	7954
87	781	8094
88	796	8152
89	860	8700
90	865	8649
91	876	8648
92	924	9017
93	930	8971
94	940	8961
95	948	8929
96	960	8941
97	989	9109
98	992	9035
99	997	8979
100	1004	8945
101	1024	9018
102	1037	9035
103	1091	9405
104	1093	9324
105	1106	9334
106	1127	9406
107	1140	9418
108	1145	9362
109	1154	9342
110	1168	9357
111	1175	9321
112	1181	9276
113	1187	9226
114	1198	9225
115	1210	9222
116	1215	9171
117	1220	9122
118	1230	9106
119	1244	9129
120	1247	9061
121	1252	9012
122	1260	8989
123	1276	9016
124	1282	8976
125	1296	8995
126	1306	8980
127	1308	8911
128	1310	8845
129	1315	8806
130	1343	8910
131	1347	8863
132	1358	8857
133	1363	8813
134	1372	8791
135	1388	8820
136	1394	8783
137	1396	8724
138	1401	8681
139	1406	8637
140	1411	8599
141	1421	8589
142	1424	8536
143	1440	8562
144	1443	8512
145	1453	8502
146	1458	8460
147	1462	8417
148	1467	8380
149	1471	8335
150	1477	8305
151	1481	8264
152	1483	8211
153	1485	8160
154	1487	8109
155	1496	8093
156	1502	8067
157	1509	8044
158	1515	8016
159	1519	7977
160	1526	7956
161	1530	7917
162	1533	7874
163	1541	7857
164	1544	7817
165	1547	7773
166	1549	7730
167	1556	7708
168	1560	7671
169	1564	7637
170	1569	7611
171	1572	7570
172	1575	7533
173	1579	7499
174	1585	7473
175	1588	7438
176	1594	7411
177	1602	7401
178	1605	7364
179	1609	7330
180	1620	7330
181	1625	7303
182	1634	7298
183	1640	7273
184	1643	7240
185	1650	7224
186	1654	7194
187	1656	7154
188	1659	7122
189	1668	7110
190	1671	7080
191	1675	7049
192	1682	7035
193	1688	7013
194	1701	7022
195	1707	7002
196	1720	7011
197	1734	7026
198	1744	7020
199	1754	7018
200	1771	7043
201	1785	7054
202	1788	7020
203	1796	7009
204	1803	6995
205	1817	7005
206	1830	7012
207	1864	7099
208	1868	7072
209	1884	7089
210	1895	7087
211	1909	7098
212	1913	7071
213	1923	7064
214	1929	7046
215	1939	7038
216	1943	7013
217	1948	6988
218	1957	6979
219	1959	6946
220	1964	6924
221	1975	6922
222	1982	6907
223	1989	6891
224	1994	6870
225	2003	6862
226	2008	6840
227	2011	6810
228	2020	6802
229	2026	6783
230	2028	6752
231	2036	6740
232	2040	6717
233	2050	6712
234	2055	6689
235	2062	6677
236	2068	6658
237	2071	6630
238	2080	6624
239	2084	6601
240	2088	6578
241	2097	6570
242	2109	6571
243	2114	6551
244	2123	6545
245	2126	6519
246	2128	6489
247	2131	6463
248	2134	6437
249	2138	6414
250	2141	6389
251	2142	6360
252	2144	6331
253	2146	6305
254	2149	6278
255	2153	6259
256	2156	6235
257	2159	6210
258	2162	6187
259	2165	6162
260	2167	6137
261	2170	6114
262	2173	6089
263	2175	6065
264	2179	6044
265	2182	6021
266	2185	6000
267	2187	5974
268	2189	5950
269	2192	5928
270	2195	5905
271	2199	5885
272	2201	5863
273	2203	5839
274	2206	5818
275	2209	5795
276	2211	5773
277	2216	5757
278	2220	5737
279	2222	5714
280	2223	5690
281	2227	5670
282	2230	5649
283	2232	5629
284	2235	5607
285	2237	5586
286	2240	5565
287	2242	5544
288	2247	5528
289	2248	5505
290	2249	5481
291	2252	5461
292	2253	5438
293	2256	5418
294	2257	5396
295	2262	5381
296	2264	5359
297	2266	5339
298	2269	5320
299	2271	5300
300	2274	5281
301	2278	5266
302	2280	5245
303	2281	5223
304	2283	5204
305	2286	5185
306	2288	5166
307	2293	5153
308	2296	5136
309	2299	5118
310	2301	5099
311	2304	5081
312	2310	5070
313	2314	5055
314	2316	5038
315	2318	5018
316	2320	5000
317	2325	4988
318	2328	4971
319	2330	4952
320	2333	4935
321	2336	4920
322	2339	4903
323	2343	4888
324	2346	4873
325	2353	4866
326	2357	4851
327	2360	4835
328	2364	4822
329	2368	4809
330	2371	4793
331	2375	4778
332	2378	4764
333	2384	4754
334	2387	4738
335	2390	4724
336	2392	4707
337	2395	4692
338	2404	4687
339	2407	4673
340	2410	4658
341	2417	4650
342	2418	4633
343	2421	4616
344	2424	4603
345	2429	4592
346	2432	4578
347	2435	4563
348	2438	4548
349	2440	4532
350	2443	4517
351	2447	4505
352	2449	4488
353	2451	4474
354	2454	4459
355	2456	4444
356	2460	4431
357	2463	4418
358	2465	4403
359	2468	4388
360	2470	4373
361	2473	4359
362	2478	4348
363	2480	4334
364	2483	4320
365	2485	4305
366	2487	4290
367	2490	4276
368	2493	4264
369	2496	4250
370	2498	4236
371	2501	4222
372	2503	4208
373	2505	4192
374	2516	4194
375	2519	4180
376	2520	4165
377	2524	4154
378	2527	4141
379	2529	4127
380	2532	4114
381	2534	4100
382	2538	4089
383	2541	4077
384	2544	4064
385	2546	4050
386	2549	4037
387	2552	4025
388	2556	4015
389	2558	4002
390	2561	3989
391	2563	3976
392	2567	3964
393	2570	3953
394	2573	3941
395	2574	3927
396	2577	3914
397	2580	3902
398	2582	3890
399	2589	3883
400	2592	3871
401	2595	3860
402	2597	3848
403	2600	3836
404	2605	3827
405	2607	3814
406	2609	3801
407	2610	3788
408	2613	3776
409	2617	3767
410	2620	3755
411	2623	3743
412	2624	3730
413	2627	3718
414	2629	3707
415	2631	3694
416	2635	3684
417	2638	3673
418	2639	3660
419	2642	3648
420	2643	3635
421	2645	3623
422	2649	3613
423	2652	3602
424	2653	3589
425	2655	3578
426	2656	3565
427	2659	3554
428	2662	3543
429	2665	3533
430	2668	3523
431	2671	3512
432	2672	3500
433	2675	3489
434	2679	3479
435	2682	3469
436	2684	3459
437	2685	3446
438	2688	3435
439	2690	3423
440	2692	3413
441	2697	3405
442	2699	3394
443	2702	3383
444	2704	3373
445	2705	3361
446	2709	3352
447	2714	3344
448	2716	3333
449	2718	3323
450	2721	3312
451	2726	3305
452	2729	3295
453	2731	3285
454	2734	3275
455	2736	3265
456	2740	3256
457	2743	3247
458	2746	3236
459	2748	3226
460	2751	3216
461	2755	3208
462	2758	3199
463	2761	3189
464	2763	3179
465	2765	3169
466	2769	3160
467	2773	3152
468	2776	3143
469	2778	3133
470	2781	3123
471	2783	3114
472	2787	3105
473	2790	3096
474	2792	3086
475	2794	3075
476	2797	3067
477	2800	3057
478	2805	3051
479	2808	3042
480	2811	3033
481	2814	3024
482	2816	3015
483	2821	3007
484	2823	2998
485	2827	2990
486	2830	2981
487	2833	2973
488	2837	2964
489	2840	2955
490	2842	2947
491	2845	2937
492	2848	2929
493	2851	2920
494	2854	2912
495	2857	2903
496	2859	2894
497	2862	2885
498	2866	2878
499	2870	2870
500	2872	2861
501	2873	2850
502	2876	2842
503	2879	2833
504	2883	2825
505	2885	2817
506	2888	2808
507	2890	2799
508	2893	2791
509	2898	2784
510	2901	2776
511	2903	2767
512	2906	2759
513	2908	2750
514	2914	2744
515	2917	2736
516	2920	2728
517	2923	2720
518	2925	2711
519	2930	2705
520	2933	2697
521	2936	2688
522	2938	2680
523	2941	2671
524	2945	2664
525	2947	2656
526	2950	2648
527	2953	2639
528	2958	2634
529	2962	2627
530	2965	2619
531	2968	2611
532	2971	2603
533	2975	2596
534	2978	2588
535	2981	2580
536	2983	2572
537	2986	2564
538	2991	2558
539	2994	2550
540	2996	2542
541	2999	2534
542	3009	2532
543	3013	2526
544	3016	2518
545	3019	2510
546	3023	2504
547	3026	2496
548	3028	2488
549	3032	2480
550	3035	2473
551	3039	2466
552	3041	2458
553	3044	2451
554	3047	2443
555	3051	2436
556	3054	2429
557	3057	2421
558	3061	2414
559	3064	2407
560	3068	2401
561	3071	2393
562	3074	2386
563	3077	2378
564	3079	2371
565	3084	2364
566	3086	2357
567	3090	2350
568	3092	2342
569	3095	2335
570	3100	2329
571	3103	2322
572	3106	2314
573	3109	2307
574	3111	2300
575	3117	2294
576	3120	2287
577	3123	2280
578	3126	2273
579	3130	2267
580	3133	2260
581	3136	2252
582	3139	2245
583	3141	2238
584	3147	2232
585	3150	2225
586	3152	2218
587	3155	2210
588	3157	2203
589	3163	2198
590	3166	2191
591	3168	2183
592	3171	2176
593	3173	2169
594	3179	2163
595	3181	2156
596	3184	2149
597	3186	2142
598	3189	2135
599	3194	2129
600	3196	2122
601	3199	2115
602	3202	2108
603	3205	2101
604	3210	2095
605	3213	2089
606	3215	2082
607	3218	2075
608	3222	2068
609	3225	2062
610	3228	2055
611	3231	2048
612	3233	2041
613	3237	2034
614	3240	2028
615	3243	2021
616	3246	2015
617	3249	2008
618	3252	2001
619	3256	1995
620	3258	1988
621	3261	1981
622	3264	1975
623	3267	1968
624	3271	1962
625	3273	1955
626	3276	1949
627	3279	1942
628	3289	1940
629	3293	1934
630	3297	1928
631	3303	1923
632	3306	1917
633	3310	1910
634	3313	1904
635	3319	1899
636	3323	1894
637	3326	1887
638	3331	1881
639	3335	1876
640	3340	1870
641	3344	1865
642	3350	1860
643	3353	1853
644	3356	1847
645	3358	1840
646	3363	1835
647	3366	1828
648	3369	1822
649	3371	1815
650	3374	1809
651	3380	1804
652	3382	1797
653	3385	1790
654	3387	1784
655	3390	1777
656	3396	1773
657	3398	1766
658	3401	1760
659	3403	1753
660	3406	1747
661	3412	1742
662	3415	1735
663	3417	1729
664	3419	1722
665	3422	1716
666	3427	1711
667	3429	1704
668	3432	1698
669	3435	1691
670	3439	1686
671	3442	1680
672	3445	1674
673	3448	1667
674	3451	1661
675	3453	1655
676	3457	1649
677	3460	1643
678	3462	1637
679	3466	1631
680	3469	1625
681	3473	1619
682	3476	1613
683	3478	1607
684	3483	1601
685	3486	1595
686	3489	1589
687	3492	1583
688	3495	1577
689	3498	1571
690	3501	1565
691	3504	1560
692	3507	1553
693	3510	1548
694	3513	1541
695	3516	1535
696	3521	1530
697	3524	1525
698	3527	1518
699	3529	1512
700	3534	1507
701	3537	1501
702	3541	1496
703	3545	1490
704	3551	1485
705	3554	1480
706	3556	1474
707	3559	1468
708	3562	1462
709	3567	1457
710	3570	1451
711	3573	1445
712	3575	1439
713	3578	1433
714	3582	1428
715	3585	1422
716	3588	1416
717	3591	1410
718	3593	1404
719	3599	1399
720	3602	1394
721	3605	1388
722	3607	1382
723	3611	1376
724	3616	1371
725	3619	1366
726	3622	1360
727	3625	1354
728	3631	1349
729	3633	1344
730	3636	1338
731	3639	1332
732	3643	1327
733	3647	1321
734	3650	1316
735	3652	1310
736	3655	1304
737	3659	1299
738	3662	1293
739	3664	1287
740	3667	1281
741	3670	1276
742	3674	1271
743	3677	1265
744	3679	1259
745	3682	1253
746	3686	1248
747	3690	1243
748	3693	1237
749	3696	1232
750	3699	1226
751	3702	1221
752	3708	1216
753	3711	1210
754	3714	1205
755	3716	1199
756	3720	1194
757	3723	1188
758	3726	1183
759	3730	1178
760	3733	1172
761	3738	1167
762	3741	1162
763	3744	1156
764	3747	1151
765	3749	1145
766	3754	1140
767	3757	1135
768	3760	1129
769	3762	1123
770	3765	1118
771	3769	1113
772	3773	1108
773	3775	1102
774	3777	1096
775	3780	1091
776	3784	1086
777	3787	1080
778	3790	1075
779	3793	1069
780	3795	1064
781	3799	1059
782	3802	1053
783	3805	1048
784	3808	1043
785	3810	1037
786	3815	1032
787	3818	1027
788	3821	1021
789	3824	1016
790	3826	1011
791	3832	1006
792	3834	1001
793	3837	995
794	3840	990
795	3843	984
796	3848	980
797	3850	974
798	3853	969
799	3855	963
800	3858	958
801	3864	954
802	3866	948
803	3869	943
804	3872	937
805	3875	932
806	3879	927
807	3882	922
808	3884	917
809	3887	911
810	3890	906
811	3895	901
812	3897	896
813	3900	891
814	3904	886
815	3906	880
816	3911	876
817	3914	870
818	3917	865
819	3920	860
820	3923	855
821	3927	850
822	3930	845
823	3932	839
824	3934	834
825	3937	829
826	3941	824
827	3944	819
828	3947	814
829	3950	809
830	3953	803
831	3957	799
832	3960	794
833	3963	788
834	3965	783
835	3968	778
836	3972	773
837	3976	768
838	3979	763
839	3981	758
840	3984	753
841	3988	748
842	3992	743
843	3994	738
844	3997	733
845	4000	728
846	4005	723
847	4008	718
848	4010	713
849	4013	708
850	4015	703
851	4023	698
852	4027	694
853	4029	688
854	4032	683
855	4037	679
856	4040	674
857	4042	669
858	4045	664
859	4050	659
860	4053	654
861	4056	649
862	4059	644
863	4062	639
864	4066	634
865	4069	629
866	4072	624
867	4074	619
868	4078	614
869	4083	610
870	4085	605
871	4088	600
872	4090	595
873	4094	590
874	4100	585
875	4103	580
876	4108	576
877	4116	571
878	4124	567
879	4132	563
880	4135	558
881	4139	553
882	4144	549
883	4148	544
884	4152	539
885	4155	534
886	4158	529
887	4162	525
888	4166	520
889	4168	515
890	4171	510
891	4174	505
892	4178	500
893	4181	495
894	4184	490
895	4186	485
896	4189	481
897	4193	476
898	4196	471
899	4198	466
900	4201	461
901	4204	456
902	4208	452
903	4212	447
904	4215	442
905	4218	437
906	4226	433
907	4231	428
908	4234	423
909	4243	419
910	4247	414
911	4250	410
912	4258	405
913	4262	401
914	4267	396
915	4276	392
916	4280	387
917	4286	382
918	4292	378
919	4296	373
920	4307	369
921	4314	365
922	4325	360
923	4335	356
924	4340	351
925	4347	347
926	4355	342
927	4362	338
928	4370	334
929	4377	329
930	4385	325
931	4393	320
932	4399	315
933	4404	311
934	4408	306
935	4415	301
936	4421	297
937	4425	292
938	4434	288
939	4439	283
940	4445	278
941	4451	274
942	4455	269
943	4463	264
944	4467	260
945	4472	255
946	4479	250
947	4482	245
948	4484	241
949	4487	236
950	4490	231
951	4495	226
952	4498	221
953	4501	217
954	4503	212
955	4512	207
956	4515	202
957	4519	198
958	4523	193
959	4527	188
960	4530	183
961	4533	179
962	4536	174
963	4541	169
964	4544	164
965	4547	160
966	4549	155
967	4552	150
968	4556	145
969	4559	141
970	4562	136
971	4566	131
972	4569	126
973	4572	122
974	4575	117
975	4579	112
976	4582	107
977	4585	103
978	4588	98
979	4591	93
980	4594	88
981	4597	84
982	4600	79
983	4604	74
984	4607	70
985	4610	65
986	4613	60
987	4616	56
988	4620	51
989	4623	46
990	4626	42
991	4628	37
992	4632	32
993	4637	27
994	4640	23
995	4643	18
996	4649	13
997	4653	9
998	4657	4
999	4660	0
