iter	Passed	Remaining
0	144	144055
1	151	75518
2	155	51666
3	161	40101
4	163	32547
5	169	28084
6	174	24785
7	180	22339
8	185	20470
9	189	18739
10	192	17283
11	196	16154
12	199	15148
13	208	14663
14	211	13916
15	219	13479
16	227	13141
17	233	12754
18	240	12396
19	246	12089
20	252	11759
21	255	11344
22	257	10949
23	264	10757
24	270	10538
25	277	10381
26	282	10183
27	286	9945
28	291	9761
29	297	9626
30	302	9465
31	305	9249
32	311	9123
33	317	9016
34	324	8948
35	330	8846
36	335	8724
37	340	8627
38	344	8483
39	348	8354
40	351	8216
41	356	8142
42	363	8097
43	370	8041
44	379	8048
45	389	8071
46	402	8153
47	408	8093
48	412	8014
49	418	7945
50	426	7931
51	429	7828
52	433	7739
53	435	7629
54	438	7536
55	444	7499
56	452	7490
57	458	7441
58	463	7390
59	468	7344
60	472	7269
61	475	7189
62	480	7142
63	484	7079
64	486	7005
65	492	6965
66	497	6924
67	502	6884
68	508	6858
69	513	6828
70	518	6788
71	523	6750
72	529	6723
73	534	6683
74	536	6622
75	550	6691
76	554	6650
77	558	6596
78	562	6554
79	566	6519
80	572	6494
81	577	6468
82	582	6436
83	588	6415
84	593	6389
85	599	6372
86	605	6355
87	610	6331
88	616	6308
89	622	6289
90	624	6242
91	631	6228
92	634	6190
93	639	6162
94	643	6134
95	648	6107
96	654	6089
97	658	6063
98	661	6023
99	667	6006
100	672	5990
101	678	5977
102	683	5953
103	686	5913
104	688	5865
105	692	5840
106	696	5811
107	702	5799
108	708	5789
109	713	5771
110	719	5760
111	724	5745
112	727	5710
113	731	5687
114	736	5664
115	741	5650
116	746	5630
117	750	5613
118	755	5595
119	760	5573
120	762	5538
121	766	5516
122	771	5500
123	776	5485
124	780	5465
125	785	5448
126	790	5431
127	792	5396
128	794	5363
129	799	5352
130	804	5335
131	808	5315
132	812	5295
133	817	5282
134	821	5263
135	825	5244
136	830	5231
137	832	5200
138	834	5168
139	837	5143
140	841	5126
141	845	5110
142	848	5083
143	852	5068
144	855	5044
145	861	5036
146	864	5018
147	869	5004
148	873	4989
149	878	4978
150	882	4963
151	887	4952
152	890	4932
153	893	4910
154	896	4885
155	900	4872
156	910	4889
157	913	4870
158	919	4862
159	927	4867
160	936	4879
161	942	4875
162	945	4853
163	953	4861
164	958	4852
165	961	4829
166	964	4809
167	969	4799
168	973	4785
169	977	4773
170	982	4763
171	985	4742
172	989	4729
173	994	4720
174	999	4711
175	1004	4701
176	1008	4690
177	1013	4678
178	1016	4661
179	1021	4652
180	1026	4642
181	1029	4627
182	1033	4612
183	1038	4604
184	1042	4592
185	1047	4583
186	1052	4574
187	1054	4554
188	1059	4545
189	1064	4540
190	1069	4529
191	1074	4520
192	1075	4498
193	1079	4486
194	1084	4478
195	1088	4463
196	1092	4453
197	1096	4442
198	1101	4431
199	1104	4419
200	1109	4411
201	1113	4400
202	1115	4380
203	1118	4363
204	1122	4353
205	1127	4345
206	1130	4329
207	1132	4314
208	1135	4297
209	1140	4290
210	1145	4283
211	1150	4277
212	1153	4261
213	1158	4253
214	1165	4255
215	1169	4246
216	1175	4240
217	1180	4234
218	1185	4228
219	1188	4212
220	1193	4207
221	1197	4197
222	1201	4188
223	1207	4183
224	1211	4174
225	1215	4164
226	1220	4156
227	1223	4142
228	1228	4136
229	1233	4128
230	1237	4120
231	1243	4116
232	1248	4110
233	1253	4104
234	1258	4095
235	1262	4086
236	1267	4079
237	1269	4065
238	1274	4057
239	1278	4050
240	1283	4042
241	1288	4036
242	1293	4030
243	1297	4021
244	1303	4016
245	1308	4009
246	1310	3994
247	1314	3986
248	1319	3978
249	1322	3968
250	1328	3964
251	1331	3953
252	1334	3941
253	1338	3932
254	1341	3919
255	1345	3911
256	1349	3902
257	1354	3895
258	1358	3886
259	1363	3881
260	1366	3868
261	1371	3863
262	1375	3855
263	1380	3848
264	1386	3845
265	1390	3837
266	1394	3829
267	1397	3817
268	1402	3812
269	1406	3803
270	1410	3795
271	1415	3789
272	1420	3783
273	1424	3773
274	1428	3765
275	1432	3758
276	1436	3750
277	1441	3742
278	1445	3735
279	1448	3723
280	1450	3710
281	1454	3704
282	1457	3691
283	1461	3683
284	1463	3672
285	1468	3665
286	1472	3659
287	1477	3652
288	1481	3645
289	1483	3631
290	1485	3619
291	1490	3612
292	1493	3603
293	1498	3598
294	1501	3587
295	1505	3581
296	1508	3570
297	1513	3564
298	1517	3558
299	1522	3552
300	1527	3546
301	1530	3537
302	1533	3527
303	1535	3516
304	1540	3510
305	1545	3504
306	1549	3498
307	1554	3492
308	1559	3487
309	1564	3481
310	1572	3483
311	1576	3476
312	1578	3464
313	1582	3457
314	1586	3449
315	1588	3438
316	1590	3427
317	1596	3423
318	1602	3420
319	1604	3409
320	1608	3403
321	1612	3396
322	1614	3384
323	1620	3380
324	1624	3374
325	1629	3368
326	1634	3363
327	1638	3357
328	1644	3353
329	1646	3342
330	1650	3335
331	1654	3328
332	1658	3321
333	1662	3314
334	1665	3306
335	1669	3300
336	1672	3290
337	1675	3282
338	1679	3275
339	1683	3268
340	1687	3261
341	1691	3253
342	1693	3243
343	1694	3231
344	1698	3224
345	1701	3216
346	1705	3209
347	1708	3201
348	1712	3195
349	1717	3190
350	1722	3185
351	1726	3178
352	1728	3168
353	1733	3163
354	1737	3155
355	1740	3149
356	1744	3142
357	1748	3135
358	1751	3127
359	1755	3121
360	1759	3115
361	1763	3108
362	1767	3101
363	1770	3093
364	1774	3086
365	1778	3079
366	1780	3071
367	1784	3064
368	1785	3053
369	1789	3047
370	1793	3041
371	1798	3035
372	1802	3029
373	1804	3021
374	1809	3015
375	1813	3009
376	1816	3001
377	1818	2991
378	1821	2985
379	1826	2979
380	1829	2972
381	1833	2966
382	1837	2960
383	1841	2953
384	1845	2947
385	1848	2940
386	1852	2933
387	1856	2927
388	1859	2921
389	1863	2914
390	1867	2907
391	1870	2901
392	1874	2895
393	1878	2889
394	1882	2883
395	1884	2874
396	1888	2868
397	1892	2862
398	1894	2853
399	1897	2846
400	1901	2840
401	1905	2835
402	1909	2829
403	1913	2822
404	1917	2816
405	1919	2808
406	1922	2801
407	1924	2792
408	1928	2786
409	1932	2780
410	1936	2774
411	1939	2767
412	1941	2759
413	1944	2752
414	1948	2746
415	1951	2739
416	1954	2732
417	1958	2726
418	1960	2717
419	1963	2712
420	1965	2703
421	1969	2697
422	1972	2690
423	1975	2683
424	1977	2675
425	1981	2670
426	1984	2662
427	1988	2658
428	1992	2652
429	1996	2646
430	1999	2640
431	2004	2635
432	2007	2628
433	2012	2624
434	2015	2618
435	2019	2612
436	2023	2606
437	2024	2597
438	2028	2591
439	2030	2584
440	2034	2578
441	2038	2573
442	2042	2568
443	2046	2562
444	2049	2555
445	2051	2548
446	2055	2543
447	2059	2538
448	2062	2530
449	2066	2525
450	2071	2521
451	2075	2516
452	2080	2511
453	2084	2507
454	2089	2502
455	2093	2497
456	2098	2493
457	2102	2487
458	2105	2482
459	2109	2476
460	2113	2471
461	2118	2466
462	2122	2461
463	2125	2455
464	2129	2450
465	2134	2445
466	2137	2439
467	2141	2433
468	2144	2428
469	2148	2422
470	2152	2417
471	2155	2411
472	2159	2405
473	2163	2400
474	2167	2395
475	2169	2387
476	2173	2383
477	2177	2378
478	2182	2373
479	2186	2368
480	2190	2363
481	2194	2358
482	2198	2352
483	2202	2348
484	2206	2343
485	2210	2338
486	2214	2332
487	2217	2326
488	2221	2321
489	2225	2316
490	2229	2310
491	2232	2305
492	2236	2299
493	2239	2294
494	2243	2288
495	2246	2282
496	2250	2277
497	2253	2271
498	2256	2265
499	2259	2259
500	2262	2253
501	2264	2246
502	2268	2240
503	2271	2234
504	2274	2229
505	2278	2224
506	2281	2218
507	2284	2212
508	2288	2207
509	2293	2203
510	2297	2198
511	2301	2193
512	2304	2187
513	2308	2182
514	2312	2177
515	2315	2172
516	2319	2166
517	2323	2162
518	2327	2156
519	2330	2151
520	2334	2146
521	2337	2140
522	2341	2135
523	2345	2130
524	2349	2125
525	2352	2119
526	2356	2115
527	2361	2110
528	2365	2105
529	2369	2101
530	2372	2095
531	2376	2090
532	2380	2085
533	2384	2080
534	2387	2075
535	2391	2069
536	2395	2065
537	2399	2060
538	2403	2055
539	2406	2050
540	2410	2045
541	2414	2039
542	2417	2034
543	2420	2029
544	2424	2024
545	2427	2018
546	2430	2012
547	2434	2007
548	2437	2002
549	2440	1996
550	2443	1991
551	2446	1985
552	2449	1980
553	2453	1974
554	2456	1970
555	2460	1964
556	2463	1959
557	2466	1953
558	2469	1948
559	2473	1943
560	2476	1938
561	2480	1933
562	2484	1928
563	2487	1923
